api,total_volume,minimum_psi,maximum_psi,average_psi,total_well_reports,latitude,longitude
3500322212,133753,385,397,391,11,36.868500,-98.231600
3511923946,288681,26,145,83,89,36.000778,-96.833556
3500322186,369441,110,377,282,29,36.921876,-98.324526
3505322073,237335,900,900,900,130,36.753608,-97.993760
3505322836,3561,127,127,127,1,36.739409,-98.035995
3511924260,122827,10,296,117,34,35.999181,-97.096535
3508102053,38608,365,365,365,137,35.752268,-97.121911
3505321710,3860,125,125,125,3,36.638209,-97.198000
3511924184,111099,39,293,110,45,36.073282,-97.052067
3508323704,113772,160,160,160,61,35.913401,-97.195470
3508124052,968202,20,100,37,137,35.607156,-97.087181
3504724615,336045,50,245,156,637,36.280834,-98.089157
3511923926,241774,178,299,233,92,35.970240,-96.838523
3510922128,7893027,187,472,345,172,35.403716,-97.439080
3508123707,334126,250,250,250,143,35.722967,-97.000777
3500322540,939173,50,257,190,33,36.854296,-98.289946
3505322947,614587,10,120,55,81,36.681326,-97.862559
3504724848,6417,141,141,141,1,36.319858,-97.477984
3507324764,493342,115,800,251,132,36.116611,-97.709472
3508123837,298242,375,375,375,61,35.769359,-96.929361
3505321839,50288,100,175,150,57,36.711387,-97.935396
3505322923,104544,106,149,127,31,36.819220,-98.039657
3500322144,299058,110,353,262,27,36.921871,-98.324013
3511923843,842771,375,586,509,90,35.999389,-96.847444
3510324594,596480,6,91,36,33,36.290910,-97.158430
3504724620,22747,35,36,36,2,36.288741,-97.463580
3511923896,112884,24,337,117,48,36.029528,-97.017556
3505322987,38553,12,100,87,9,36.739449,-98.036558
3504724621,7100,7,22,19,33,36.275376,-97.584002
3500322308,3478673,40,540,224,207,36.840300,-98.361100
3500322908,825139,45,384,223,32,36.839860,-98.308036
3511924093,242637,205,431,310,45,36.073060,-97.016717
3508324185,101778,10,720,306,78,36.120450,-97.609700
3505323049,66728,131,145,137,17,36.797442,-98.108283
3505322926,319276,58,399,236,69,36.900649,-97.733090
3505323061,181992,201,346,251,67,36.826076,-97.660660
3500322521,143151,71,208,120,10,36.871070,-98.371700
3500322737,785576,60,291,179,33,36.853908,-98.289931
3505322928,37435,210,210,210,5,36.781167,-97.955306
3508123907,148257,130,160,149,124,35.649981,-97.126486
3500322131,187571,370,394,387,13,36.868800,-98.231700
3510922259,11014816,281,459,437,172,35.433116,-97.451600
3500322623,457108,48,351,274,27,36.914120,-98.352580
3500322316,857842,103,355,258,33,36.883800,-98.327080
3508123894,161200,395,395,395,61,35.781750,-96.873831
3508324122,441115,61,549,448,85,36.100250,-97.570750
3508123499,548908,80,320,278,48,35.557836,-96.738150
3504724590,10063,6,386,144,15,36.202383,-97.593669
3508123361,47809,100,100,100,61,35.809604,-97.050791
3510324610,241198,7,577,412,57,36.201948,-97.279716
3508123291,46016,160,160,160,61,35.815330,-97.033330
3505323082,25586,12,120,102,9,36.795357,-97.785525
3505322820,37322,130,150,141,12,36.780778,-97.730472
3510922261,6074917,149,334,230,172,35.404017,-97.438517
3508323978,12452,20,1100,625,21,36.073410,-97.584010
3511923684,141533,30,30,30,38,35.943885,-97.124430
3505322996,72772,10,145,118,22,36.739195,-97.822340
3510922170,142951,46,242,80,32,35.404375,-97.438519
3500322806,514265,50,390,292,30,36.914103,-98.353060
3511923881,66802,44,235,96,45,36.029387,-97.113567
3505322959,16985,100,150,129,26,36.752289,-97.847774
3508324032,103,120,120,120,1,35.786010,-97.387160
3500322386,34756,89,337,172,3,36.913631,-98.282934
3505322824,72597,12,300,207,33,36.797442,-98.107771
3500322426,3995,109,109,109,1,36.766793,-98.147952
3508124092,191230,205,205,205,31,35.608986,-96.751775
3505322844,3241,260,260,260,2,36.768010,-97.804320
3505322795,9261,10,155,105,6,36.739607,-97.822335
