api,total_volume,max_psi,min_psi,avg_psi,total_reports,latitude,longitude
3505323061,181992,346,201,251,67,36.826077,-97.66066
3511923946,288681,145,26,83,89,36.00078,-96.83356
3504724590,10063,386,6,144,15,36.20238,-97.593666
3508323704,113772,160,160,160,61,35.913403,-97.19547
3508123707,334126,250,250,250,143,35.722965,-97.00078
3504724615,336045,245,50,156,637,36.280834,-98.08916
3500322308,3.478673e+06,540,40,224,207,36.8403,-98.3611
3500322737,785576,291,60,179,33,36.85391,-98.28993
3505322928,37435,210,210,210,5,36.781166,-97.95531
3508123894,161200,395,395,395,61,35.78175,-96.87383
3505322795,9261,155,10,105,6,36.73961,-97.822334
3504724621,7100,22,7,19,33,36.275375,-97.584
3505321710,3860,125,125,125,3,36.63821,-97.198
3505322926,319276,399,58,236,69,36.90065,-97.73309
3510922170,142951,242,46,80,32,35.404373,-97.43852
3500322540,939173,257,50,190,33,36.854298,-98.28995
3500322131,187571,394,370,387,13,36.8688,-98.2317
3500322521,143151,208,71,120,10,36.87107,-98.3717
3500322806,514265,390,50,292,30,36.914104,-98.35306
3500322316,857842,355,103,258,33,36.8838,-98.32708
3505322844,3241,260,260,260,2,36.76801,-97.80432
3500322623,457108,351,48,274,27,36.91412,-98.35258
3510324610,241198,577,7,412,57,36.201946,-97.27972
3505322836,3561,127,127,127,1,36.73941,-98.035995
3505322073,237335,900,900,900,130,36.75361,-97.99376
3505322824,72597,300,12,207,33,36.797443,-98.10777
3510922128,7.893027e+06,472,187,345,172,35.403717,-97.43908
3500322426,3995,109,109,109,1,36.766792,-98.14795
3504724620,22747,36,35,36,2,36.288742,-97.46358
3500322186,369441,377,110,282,29,36.921875,-98.324524
3511923684,141533,30,30,30,38,35.943886,-97.12443
3505322996,72772,145,10,118,22,36.739197,-97.82234
3508324032,103,120,120,120,1,35.78601,-97.38716
3505322923,104544,149,106,127,31,36.81922,-98.03966
3505322820,37322,150,130,141,12,36.780777,-97.73047
3500322144,299058,353,110,262,27,36.92187,-98.32401
3511924093,242637,431,205,310,45,36.07306,-97.016716
3510324594,596480,91,6,36,33,36.29091,-97.15843
3511923896,112884,337,24,117,48,36.02953,-97.017555
3504724848,6417,141,141,141,1,36.31986,-97.47798
3511924260,122827,296,10,117,34,35.99918,-97.096535
3508324185,101778,720,10,306,78,36.12045,-97.6097
3505322947,614587,120,10,55,81,36.681328,-97.86256
3508324122,441115,549,61,448,85,36.10025,-97.57075
3510922259,1.1014816e+07,459,281,437,172,35.433117,-97.4516
3508123907,148257,160,130,149,124,35.649982,-97.12649
3507324764,493342,800,115,251,132,36.11661,-97.70947
3500322908,825139,384,45,223,32,36.83986,-98.30804
3510922261,6.074917e+06,334,149,230,172,35.40402,-97.438515
3508123291,46016,160,160,160,61,35.81533,-97.03333
3505323049,66728,145,131,137,17,36.797443,-98.108284
3508323978,12452,1100,20,625,21,36.07341,-97.58401
3508124052,968202,100,20,37,137,35.607155,-97.08718
3511923843,842771,586,375,509,90,35.99939,-96.84744
3511924184,111099,293,39,110,45,36.07328,-97.05207
3505322987,38553,100,12,87,9,36.73945,-98.03656
3508124092,191230,205,205,205,31,35.608986,-96.75178
3508102053,38608,365,365,365,137,35.75227,-97.12191
3500322212,133753,397,385,391,11,36.8685,-98.2316
3508123837,298242,375,375,375,61,35.76936,-96.92936
3511923926,241774,299,178,233,92,35.97024,-96.838524
3508123499,548908,320,80,278,48,35.557835,-96.73815
3505323082,25586,120,12,102,9,36.795357,-97.78552
3505322959,16985,150,100,129,26,36.75229,-97.84777
3511923881,66802,235,44,96,45,36.02939,-97.11356
3508123361,47809,100,100,100,61,35.809605,-97.05079
3505321839,50288,175,100,150,57,36.711388,-97.935394
3500322386,34756,337,89,172,3,36.91363,-98.282936
